Total unique templates: 152
Total entries: 466
================================================================================

 12x  Buy the {{product}} on the page {{detail}}.
  9x  I'm interested in the {{item}}. Can you return an image link showing {{image_desc}}?
  8x  What is the price range for products in the {{region}}?
  8x  Add the {{product}} in the {{location}} to my wish list.
  7x  Tell me the price of the {{product}} in the {{location}}.
  7x  Buy {{item}} {{condition}}.
  7x  Buy the {{product}} with {{detail}}.
  6x  Add the {{product}} to my wish list.
  6x  List out reviewers, if exist, who mention {{description}} for the {{product}}
  6x  Add this exact product to my shopping cart. I think it is in the "{{category}}" category.
  6x  Tell me how much this exact item costs on OneStopMarket.
  6x  Can you take me to the page that has this {{subject}} {{item}}?
  6x  Buy {{product}} with {{detail}} on the packaging.
  6x  Can you buy the {{item}} in the "{{product_category}}" category?
  5x  Tell me the price of the {{product}}.
  5x  Add something like the {{item}} to my shopping cart.
  5x  Can you add {{items}} to the comparison page?
  5x  Add this exact product to my wish list. I think it might be in the "{{category}}" category but I'm not certain.
  5x  Can you return the link of an image {{description}}?
  5x  Find me {{category}} that is of the same brand as the product in this picture and buy {{quantity}} for me. It needs to {{description}}.
  5x  Can you add the product that looks most like {{emojis}} to my cart?
  5x  Add to my cart {{item}} {{condition}}.
  4x  Show me the {{order}} in the "{{product}}" search results by {{sorting_order}}.
  4x  What is the color of the {{type}} item in the "{{product_category}}" category?
  4x  Show me the first {{design}} in the search results for "{{product}}".
  4x  Add the {{product}} {{condition}} to my wish list.
  4x  Add the product that {{attribute}} from my open tabs to the shopping cart
  4x  Add something like {{item}}, but {{attribute}}, from this page to my wish list.
  4x  {{description}}, can you add one to my wishlist?
  4x  Add something like {{attribute}} to my wish list.
  4x  How much is the {{item}} with {{secondary_item}} in the picture on this page?
  4x  Can you return an image url from an item on this page showing {{action}} {{item}}?
  4x  Can you add the {{item}} with {{number}} stars to my cart?
  4x  Can you add all the {{items}} {{condition}} to my shopping cart?
  4x  Can you add {{item}} to my cart and take me to the final checkout screen before placing the order?
  4x  Find me {{item}} that {{attribute}} the picture.
  4x  How many calories are in {{item}}?
  4x  Purchase the exact item shown in the image.
  4x  Buy the {{product}} with {{detail}} on the packaging (in any size).
  4x  Buy me a {{product}} that {{relation}} in the image{{detail}}.
  4x  Buy me a {{product}} with {{detail}}.
  4x  I am a fan of {{organization}}. Can you find a url of an image of an item in the "{{product_category}}" category I can buy to support them?
  4x  Rate {{product}} in the {{category}} category with {{num_star}} stars, using my nickname {{nickname}}?
  3x  Buy the least expensive {{product}} from "{{category}}" category.
  3x  I am doing a market survey for one stop market, show me the most expensive {{product}} from "{{product_category}}" category
  3x  {{modifier}}List the full product names of {{color}} {{product}} and tell me the price range of the available products
  3x  What is the price of the most expensive {{color}} product in the "{{product_category}}" category?
  3x  Search for "{{keyword}}" and show me the {{item_order}} item {{condition}}
  3x  What is the {{attribute}} and price of the cheapest item in the "{{category}}" category?
  3x  Find me the cheapest item in the "{{category}}" category that comes in {{shape}}.
  3x  Add the {{attribute}} one in the {{order}} to my shopping cart.
  3x  Add this to my cart if {{condition}}
  3x  I need something like this for my apartment. Can you add one to my wishlist?
  3x  {{description}}, can you add the most similar one on this page to my wishlist?
  3x  I remembered that I ordered something like this, can you show me the corresponding order page?
  3x  Find me {{category}} of the same brand as the product in this picture. It needs to {{description}}.
  3x  Find me {{category}} that is of the same brand as products in one of the following pictures. It needs to {{description}}.
  3x  I really like {{stuff}}. Can you find me {{product}} and add it to my shopping cart?
  3x  Can you add the item {{offset}} the {{item}} to my cart?
